"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2018","450.00","547.00","554.92","428.96","2.54K","-17.73%"
"Feb 04, 2018","547.00","634.82","648.15","530.00","1.45K","-13.83%"
"Feb 03, 2018","634.82","593.30","650.00","532.15","1.81K","7.00%"
"Feb 02, 2018","593.30","614.00","628.53","457.13","4.54K","-3.37%"
"Feb 01, 2018","614.00","703.00","708.14","587.30","1.23K","-12.66%"
"Jan 31, 2018","703.00","680.08","704.73","652.00","0.60K","3.37%"
"Jan 30, 2018","680.08","771.71","777.64","674.92","1.64K","-11.87%"
"Jan 29, 2018","771.71","824.00","828.89","750.00","1.11K","-6.35%"
"Jan 28, 2018","824.00","770.13","824.28","765.39","2.29K","7.00%"
"Jan 27, 2018","770.13","784.72","785.29","748.39","1.80K","-1.86%"
"Jan 26, 2018","784.72","793.07","814.37","735.53","1.01K","-1.05%"
"Jan 25, 2018","793.07","784.67","823.96","778.44","1.27K","1.07%"
"Jan 24, 2018","784.67","754.28","790.58","726.32","1.32K","4.03%"
"Jan 23, 2018","754.28","761.68","793.11","684.98","2.97K","-0.97%"
"Jan 22, 2018","761.68","807.69","845.00","691.11","1.08K","-5.70%"
"Jan 21, 2018","807.69","920.50","925.98","786.00","1.67K","-12.26%"
"Jan 20, 2018","920.50","835.00","958.97","826.89","3.79K","10.24%"
"Jan 19, 2018","835.00","811.86","853.45","776.62","2.14K","2.85%"
"Jan 18, 2018","811.86","790.34","888.00","745.00","4.52K","2.72%"
"Jan 17, 2018","790.34","741.16","828.00","611.00","4.46K","6.63%"
"Jan 16, 2018","741.16","929.60","934.33","625.00","7.61K","-20.27%"
"Jan 15, 2018","929.60","1,003.99","1,030.00","929.09","1.53K","-7.41%"
"Jan 14, 2018","1,003.99","1,090.00","1,107.74","968.15","1.34K","-7.89%"
"Jan 13, 2018","1,090.00","1,045.00","1,125.32","1,037.02","1.15K","4.31%"
"Jan 12, 2018","1,045.00","994.00","1,059.00","960.00","0.81K","5.17%"
"Jan 11, 2018","993.62","1,093.77","1,102.00","950.00","1.59K","-9.16%"
"Jan 10, 2018","1,093.77","1,099.16","1,105.82","1,018.00","1.27K","-0.49%"
"Jan 09, 2018","1,099.16","1,073.69","1,128.76","1,034.12","1.20K","2.28%"
"Jan 08, 2018","1,074.65","1,158.00","1,181.16","950.00","4.09K","-7.20%"
"Jan 07, 2018","1,158.00","1,161.17","1,247.99","1,147.75","3.16K","-0.27%"
"Jan 06, 2018","1,161.17","1,074.25","1,180.02","1,060.00","1.78K","8.09%"
"Jan 05, 2018","1,074.25","1,117.00","1,166.00","1,060.48","2.42K","-3.83%"
"Jan 04, 2018","1,117.00","1,122.14","1,200.00","1,016.64","4.47K","-0.46%"
"Jan 03, 2018","1,122.14","1,165.00","1,171.40","1,081.00","1.98K","-3.68%"
"Jan 02, 2018","1,165.00","1,012.73","1,198.00","1,012.73","3.53K","15.04%"
"Jan 01, 2018","1,012.73","1,006.18","1,039.49","965.00","0.99K","0.65%"
"Dec 31, 2017","1,006.18","940.32","1,054.00","920.00","1.30K","7.00%"
"Dec 30, 2017","940.32","1,080.00","1,094.00","870.00","2.91K","-12.93%"
"Dec 29, 2017","1,080.00","1,095.25","1,142.75","1,010.14","1.90K","-1.39%"
"Dec 28, 2017","1,095.25","1,130.00","1,135.99","982.11","2.14K","-3.08%"
"Dec 27, 2017","1,130.00","1,177.93","1,210.00","1,097.40","2.50K","-4.07%"
"Dec 26, 2017","1,177.93","1,110.00","1,178.00","1,095.04","2.03K","6.12%"
"Dec 25, 2017","1,110.00","1,095.00","1,176.00","1,069.00","1.26K","1.37%"
"Dec 24, 2017","1,095.00","1,147.50","1,160.00","950.00","2.52K","-4.58%"
"Dec 23, 2017","1,147.50","1,100.00","1,256.00","1,075.01","3.85K","4.32%"
"Dec 22, 2017","1,100.00","1,309.80","1,350.00","810.00","10.12K","-16.02%"
"Dec 21, 2017","1,309.80","1,428.00","1,529.00","1,246.00","5.28K","-8.28%"
"Dec 20, 2017","1,428.00","1,130.23","1,575.00","1,088.06","10.14K","26.35%"
"Dec 19, 2017","1,130.23","1,148.00","1,224.62","1,055.00","4.91K","-1.55%"
"Dec 18, 2017","1,148.00","1,083.45","1,188.89","1,013.00","3.76K","5.96%"
"Dec 17, 2017","1,083.45","993.00","1,158.62","985.00","6.63K","9.11%"
"Dec 16, 2017","993.00","893.00","993.00","881.47","2.85K","11.20%"
"Dec 15, 2017","893.00","929.50","937.74","829.99","3.55K","-3.93%"
"Dec 14, 2017","929.50","858.00","947.80","817.17","5.84K","8.33%"
"Dec 13, 2017","858.00","878.00","887.45","783.20","6.22K","-2.28%"
"Dec 12, 2017","878.00","756.85","920.89","720.00","8.51K","16.01%"
"Dec 11, 2017","756.85","673.90","758.95","668.43","3.31K","12.31%"
"Dec 10, 2017","673.90","707.94","707.94","627.00","5.46K","-4.81%"
"Dec 09, 2017","707.94","699.80","752.00","678.63","4.64K","1.16%"
"Dec 08, 2017","699.80","657.34","743.00","621.10","5.64K","6.46%"
"Dec 07, 2017","657.34","668.60","690.61","619.00","6.97K","-1.68%"
"Dec 06, 2017","668.60","735.60","762.83","650.13","4.13K","-9.11%"
"Dec 05, 2017","735.60","763.00","768.00","732.09","3.00K","-3.59%"
"Dec 04, 2017","763.00","757.84","770.00","725.24","1.99K","0.68%"
"Dec 03, 2017","757.84","767.50","808.97","725.07","5.23K","-1.26%"
"Dec 02, 2017","767.50","771.72","787.08","750.68","3.07K","-0.55%"
"Dec 01, 2017","771.72","758.31","792.54","727.11","5.09K","1.77%"
"Nov 30, 2017","758.31","661.00","810.00","650.00","15.04K","14.72%"
"Nov 29, 2017","661.00","610.39","764.90","590.34","24.93K","8.29%"
"Nov 28, 2017","610.39","623.67","630.00","598.48","4.73K","-2.13%"
"Nov 27, 2017","623.67","615.00","634.79","600.00","3.73K","1.41%"
"Nov 26, 2017","615.00","633.00","641.64","599.30","4.63K","-2.84%"
"Nov 25, 2017","633.00","560.90","650.00","557.90","10.00K","12.85%"
"Nov 24, 2017","560.90","559.73","568.00","543.00","3.95K","0.21%"
"Nov 23, 2017","559.73","573.00","583.23","550.00","6.33K","-2.32%"
"Nov 22, 2017","573.00","492.61","595.00","492.61","14.73K","16.32%"
"Nov 21, 2017","492.61","477.00","525.00","452.22","12.81K","3.27%"
"Nov 20, 2017","477.00","443.00","495.97","438.20","3.83K","7.67%"
"Nov 19, 2017","443.00","455.10","457.00","429.00","3.29K","-2.66%"
"Nov 18, 2017","455.10","423.01","479.63","420.00","7.78K","7.59%"
"Nov 17, 2017","423.01","418.21","442.98","410.00","4.67K","1.15%"
"Nov 16, 2017","418.21","421.00","425.80","409.28","3.45K","-0.66%"
"Nov 15, 2017","421.00","420.75","440.36","408.70","5.54K","0.06%"
"Nov 14, 2017","420.75","420.46","439.03","401.39","5.23K","0.07%"
"Nov 13, 2017","420.46","490.00","496.53","390.50","20.61K","-14.19%"
"Nov 12, 2017","490.00","344.00","499.00","320.00","31.65K","42.44%"
"Nov 11, 2017","344.00","326.00","350.00","312.00","5.74K","5.52%"
"Nov 10, 2017","326.00","319.73","351.78","301.12","8.64K","1.96%"
"Nov 09, 2017","319.73","315.00","337.52","310.47","6.04K","1.50%"
"Nov 08, 2017","315.00","292.17","315.84","284.50","8.14K","7.81%"
"Nov 07, 2017","292.17","275.68","302.24","272.81","5.02K","5.98%"
"Nov 06, 2017","275.68","270.03","280.00","266.53","2.34K","2.09%"
"Nov 05, 2017","270.03","273.45","276.34","268.71","0.96K","-1.25%"
"Nov 04, 2017","273.45","277.20","279.90","267.50","2.17K","-1.35%"
"Nov 03, 2017","277.20","263.01","279.49","259.96","3.73K","5.40%"
"Nov 02, 2017","263.01","272.08","272.08","242.66","5.56K","-3.33%"
"Nov 01, 2017","272.08","276.40","278.79","269.15","2.55K","-1.56%"
"Oct 31, 2017","276.40","286.31","286.31","276.40","1.44K","-3.46%"
"Oct 30, 2017","286.31","284.45","288.96","281.37","1.29K","0.65%"
"Oct 29, 2017","284.45","273.76","287.45","273.76","1.56K","3.90%"
"Oct 28, 2017","273.76","280.27","286.88","268.00","1.64K","-2.32%"
"Oct 27, 2017","280.27","284.24","287.96","278.00","1.43K","-1.40%"
"Oct 26, 2017","284.24","287.59","290.04","280.51","3.13K","-1.16%"
"Oct 25, 2017","287.59","290.15","298.57","281.61","0.99K","-0.88%"
"Oct 24, 2017","290.15","279.69","300.73","270.61","3.49K","3.74%"
"Oct 23, 2017","279.69","274.95","289.03","261.00","2.36K","1.72%"
"Oct 22, 2017","274.95","274.50","284.00","265.69","1.30K","0.16%"
"Oct 21, 2017","274.50","289.94","289.94","268.00","1.96K","-5.33%"
