"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 2017","4,342.30","4,385.30","4,445.00","4,215.70","3.50K","-0.97%"
"Sep 08, 2017","4,385.00","4,659.50","4,705.10","4,139.10","8.25K","-5.90%"
"Sep 07, 2017","4,660.00","4,659.70","4,720.50","4,550.00","3.75K","-0.21%"
"Sep 06, 2017","4,669.90","4,464.03","4,669.90","4,450.10","-","4.61%"
"Sep 05, 2017","4,464.03","4,344.11","4,539.98","4,142.03","6.85K","2.76%"
"Sep 04, 2017","4,344.11","4,652.70","4,660.00","4,166.60","7.65K","-6.48%"
"Sep 03, 2017","4,645.00","4,630.40","4,745.00","4,468.59","-","0.32%"
"Sep 02, 2017","4,630.40","4,919.94","4,965.00","4,530.00","7.54K","-5.89%"
"Sep 01, 2017","4,919.94","4,737.02","4,919.94","4,702.71","-","3.86%"
"Aug 31, 2017","4,737.27","4,579.75","4,760.00","4,576.89","4.12K","3.44%"
"Aug 30, 2017","4,579.51","4,589.71","4,642.00","4,490.00","4.01K","-0.23%"
"Aug 29, 2017","4,589.94","4,388.00","4,642.80","4,346.10","5.54K","4.61%"
"Aug 28, 2017","4,387.83","4,338.46","4,395.00","4,188.13","4.71K","1.14%"
"Aug 27, 2017","4,338.46","4,360.40","4,400.00","4,328.00","0.00K","-0.31%"
"Aug 26, 2017","4,351.75","4,390.99","4,392.10","4,273.10","2.66K","-0.89%"
"Aug 25, 2017","4,390.99","4,343.00","4,462.00","4,314.00","4.24K","1.29%"
"Aug 24, 2017","4,335.00","4,147.10","4,380.00","4,145.00","4.47K","4.43%"
"Aug 23, 2017","4,151.00","4,104.90","4,279.80","4,081.40","5.55K","1.12%"
"Aug 22, 2017","4,105.00","4,007.40","4,169.19","3,638.00","10.24K","2.37%"
"Aug 21, 2017","4,010.00","4,078.24","4,115.66","3,997.00","-","-1.67%"
"Aug 20, 2017","4,078.24","4,179.73","4,194.00","4,066.00","4.32K","-2.44%"
"Aug 19, 2017","4,180.15","4,125.00","4,210.00","4,006.89","4.82K","1.33%"
"Aug 18, 2017","4,125.41","4,291.00","4,355.00","3,988.00","0.10K","-4.99%"
"Aug 17, 2017","4,342.00","4,388.00","4,479.00","4,215.00","-","-1.05%"
"Aug 16, 2017","4,388.00","4,172.20","4,398.00","3,950.50","6.42K","5.17%"
"Aug 15, 2017","4,172.20","4,350.01","4,484.28","3,830.00","10.05K","-4.09%"
"Aug 14, 2017","4,349.98","4,085.00","4,416.04","3,971.00","0.38K","6.49%"
"Aug 13, 2017","4,085.00","3,889.09","4,232.00","3,841.47","1.07K","5.16%"
"Aug 12, 2017","3,884.63","3,670.00","3,960.00","3,637.34","7.28K","5.79%"
"Aug 11, 2017","3,672.00","3,434.09","3,729.00","3,425.01","5.07K","6.93%"
"Aug 10, 2017","3,434.09","3,371.88","3,470.00","3,340.00","1.67K","1.85%"
"Aug 09, 2017","3,371.88","3,431.36","3,444.90","3,255.00","5.08K","-1.71%"
"Aug 08, 2017","3,430.52","3,372.33","3,491.00","3,350.00","7.45K","1.05%"
