"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2019","120.30","118.56","121.21","117.50","30.19K","1.46%"
"Jul 06, 2019","118.57","118.67","121.88","117.34","52.54K","-0.08%"
"Jul 05, 2019","118.67","119.74","120.92","117.07","45.04K","-0.95%"
"Jul 04, 2019","119.81","121.87","126.59","119.02","119.69K","-1.80%"
"Jul 03, 2019","122.00","119.28","123.19","117.01","89.97K","2.31%"
"Jul 02, 2019","119.25","123.47","124.21","112.90","101.60K","-3.42%"
"Jul 01, 2019","123.47","122.59","126.78","114.44","133.56K","1.04%"
"Jun 30, 2019","122.20","134.10","137.07","120.20","205.81K","-8.87%"
"Jun 29, 2019","134.10","119.31","136.01","115.29","229.82K","12.37%"
"Jun 28, 2019","119.34","114.60","121.54","113.17","123.33K","4.19%"
"Jun 27, 2019","114.54","130.01","131.35","110.68","346.13K","-11.90%"
"Jun 26, 2019","130.01","135.50","137.43","125.00","287.28K","-4.05%"
"Jun 25, 2019","135.50","135.72","137.96","129.18","171.03K","-0.16%"
"Jun 24, 2019","135.72","137.38","137.43","132.85","157.00K","-1.27%"
"Jun 23, 2019","137.46","142.55","143.59","136.60","136.88K","-3.54%"
"Jun 22, 2019","142.51","139.19","146.60","137.93","321.57K","2.34%"
"Jun 21, 2019","139.25","136.09","141.91","135.98","201.52K","2.40%"
"Jun 20, 2019","135.98","137.02","137.30","133.75","92.51K","-0.66%"
"Jun 19, 2019","136.88","135.42","140.01","133.87","137.55K","1.20%"
"Jun 18, 2019","135.26","134.33","136.65","129.11","200.55K","0.72%"
"Jun 17, 2019","134.29","137.10","137.22","132.32","106.82K","-2.04%"
"Jun 16, 2019","137.09","138.33","138.87","133.81","172.65K","-0.90%"
"Jun 15, 2019","138.33","132.49","139.95","132.49","187.47K","4.24%"
"Jun 14, 2019","132.70","130.80","133.14","125.91","184.36K","1.45%"
"Jun 13, 2019","130.80","136.15","137.00","128.47","198.71K","-4.13%"
"Jun 12, 2019","136.43","136.05","143.90","131.17","371.27K","0.30%"
"Jun 11, 2019","136.02","129.93","138.80","125.50","321.72K","4.57%"
"Jun 10, 2019","130.07","114.54","130.57","112.66","286.31K","13.19%"
"Jun 09, 2019","114.91","118.57","119.25","111.63","132.91K","-3.09%"
"Jun 08, 2019","118.57","117.01","120.09","113.68","113.64K","1.34%"
"Jun 07, 2019","117.00","111.29","120.83","109.84","196.73K","5.15%"
"Jun 06, 2019","111.27","103.98","112.06","101.13","94.84K","7.08%"
"Jun 05, 2019","103.91","102.27","105.41","100.35","75.55K","1.60%"
"Jun 04, 2019","102.27","105.70","105.90","99.11","169.09K","-3.19%"
"Jun 03, 2019","105.64","114.59","116.50","104.98","128.83K","-7.82%"
"Jun 02, 2019","114.60","112.46","116.60","111.56","76.38K","1.90%"
"Jun 01, 2019","112.46","114.29","115.96","111.21","97.77K","-1.59%"
"May 31, 2019","114.28","107.60","114.66","104.62","97.13K","6.01%"
"May 30, 2019","107.80","115.58","120.96","102.34","252.53K","-6.50%"
"May 29, 2019","115.30","114.95","118.69","110.06","133.03K","0.30%"
"May 28, 2019","114.95","116.95","118.75","111.49","128.24K","-1.92%"
"May 27, 2019","117.20","112.31","122.02","111.35","296.76K","4.35%"
"May 26, 2019","112.31","102.87","114.99","99.46","244.81K","9.18%"
"May 25, 2019","102.87","100.85","105.17","99.03","135.56K","2.00%"
"May 24, 2019","100.85","88.74","104.00","88.43","204.48K","13.64%"
"May 23, 2019","88.74","87.70","89.74","84.79","66.00K","1.19%"
"May 22, 2019","87.70","90.96","92.30","85.75","81.25K","-3.79%"
"May 21, 2019","91.15","91.51","93.54","89.30","60.88K","-0.39%"
"May 20, 2019","91.51","94.85","94.88","87.65","115.43K","-3.52%"
"May 19, 2019","94.85","86.54","96.89","86.25","135.33K","9.56%"
"May 18, 2019","86.57","90.39","91.14","85.30","44.26K","-4.18%"
"May 17, 2019","90.35","95.50","97.00","85.10","243.29K","-5.06%"
"May 16, 2019","95.17","101.80","106.73","91.15","325.92K","-6.47%"
"May 15, 2019","101.75","91.33","103.86","90.50","322.35K","11.48%"
"May 14, 2019","91.27","87.17","93.86","86.75","185.30K","4.55%"
"May 13, 2019","87.30","85.13","91.77","84.41","190.65K","2.55%"
"May 12, 2019","85.13","87.02","92.95","84.40","260.30K","-2.48%"
"May 11, 2019","87.29","77.69","94.50","77.33","342.99K","12.44%"
"May 10, 2019","77.64","75.30","79.24","73.77","104.38K","3.11%"
"May 09, 2019","75.30","77.25","78.30","74.46","60.84K","-2.36%"
"May 08, 2019","77.12","77.96","77.99","75.15","132.61K","-1.13%"
"May 07, 2019","78.00","78.62","82.39","77.31","97.13K","-0.92%"
"May 06, 2019","78.72","79.23","80.88","75.55","116.97K","-0.63%"
"May 05, 2019","79.23","81.18","81.55","78.90","46.13K","-2.58%"
"May 04, 2019","81.33","82.68","86.01","78.60","112.49K","-1.63%"
"May 03, 2019","82.68","76.86","84.62","76.60","149.44K","7.29%"
"May 02, 2019","77.06","76.88","78.15","76.03","59.77K","0.24%"
"May 01, 2019","76.88","78.29","79.40","75.54","74.81K","-1.47%"
"Apr 30, 2019","78.02","71.22","78.50","71.22","146.39K","9.99%"
"Apr 29, 2019","70.94","72.03","72.78","68.97","83.80K","-1.95%"
"Apr 28, 2019","72.35","73.88","75.15","71.29","74.43K","-1.97%"
"Apr 27, 2019","73.81","75.37","75.46","73.51","39.70K","-2.08%"
"Apr 26, 2019","75.37","71.75","76.45","70.71","139.93K","5.07%"
"Apr 25, 2019","71.74","73.76","75.12","70.38","134.93K","-2.74%"
"Apr 24, 2019","73.76","74.38","75.34","70.96","183.70K","-0.84%"
"Apr 23, 2019","74.38","77.37","80.17","74.30","207.69K","-3.84%"
"Apr 22, 2019","77.35","77.61","78.54","75.70","172.86K","-0.28%"
"Apr 21, 2019","77.57","81.80","82.29","75.01","159.20K","-5.17%"
"Apr 20, 2019","81.80","82.98","83.38","80.00","61.41K","-1.42%"
"Apr 19, 2019","82.98","82.66","83.94","80.41","88.26K","0.38%"
"Apr 18, 2019","82.66","79.67","83.90","79.61","128.80K","3.76%"
"Apr 17, 2019","79.67","81.28","82.49","79.18","75.09K","-1.97%"
"Apr 16, 2019","81.28","78.14","82.27","77.59","130.79K","3.59%"
"Apr 15, 2019","78.46","84.42","85.21","76.45","235.01K","-6.86%"
"Apr 14, 2019","84.24","78.45","84.50","77.11","144.92K","7.32%"
"Apr 13, 2019","78.50","79.50","81.93","76.68","110.65K","-1.26%"
"Apr 12, 2019","79.50","79.66","81.50","75.92","123.70K","-0.20%"
"Apr 11, 2019","79.66","88.23","88.43","75.66","355.07K","-9.76%"
"Apr 10, 2019","88.27","87.46","92.40","86.32","178.21K","1.15%"
"Apr 09, 2019","87.27","89.79","90.11","84.40","152.13K","-3.15%"
"Apr 08, 2019","90.11","92.78","94.67","87.02","181.41K","-2.85%"
"Apr 07, 2019","92.76","92.94","96.62","90.06","162.24K","-0.24%"
"Apr 06, 2019","92.98","89.41","98.65","86.55","402.07K","4.00%"
"Apr 05, 2019","89.41","85.55","91.12","85.04","157.50K","4.47%"
"Apr 04, 2019","85.58","85.40","90.22","81.42","389.53K","0.16%"
"Apr 03, 2019","85.44","77.82","99.40","77.55","1.15M","9.73%"
"Apr 02, 2019","77.87","61.23","79.52","60.99","683.24K","27.18%"
"Apr 01, 2019","61.23","61.45","61.92","60.91","66.38K","-0.42%"
"Mar 31, 2019","61.49","61.45","61.76","60.88","41.07K","0.08%"
"Mar 30, 2019","61.44","62.57","62.81","60.86","79.28K","-1.83%"
"Mar 29, 2019","62.58","61.54","62.83","61.06","115.66K","1.70%"
"Mar 28, 2019","61.54","62.38","62.38","61.23","62.35K","-1.50%"
"Mar 27, 2019","62.48","59.60","62.77","59.44","197.72K","5.04%"
"Mar 26, 2019","59.48","59.72","59.90","58.12","154.29K","-0.21%"
"Mar 25, 2019","59.60","60.56","61.35","58.90","180.37K","-1.59%"
"Mar 24, 2019","60.56","61.77","61.79","59.75","82.47K","-2.00%"
"Mar 23, 2019","61.80","60.06","62.24","59.86","125.60K","2.66%"
"Mar 22, 2019","60.20","59.46","60.54","59.07","141.77K","1.24%"
"Mar 21, 2019","59.46","61.55","61.90","58.52","186.56K","-3.39%"
"Mar 20, 2019","61.55","60.77","62.10","58.39","225.76K","1.28%"
"Mar 19, 2019","60.77","60.37","61.29","59.70","243.20K","0.71%"
"Mar 18, 2019","60.34","61.84","63.75","59.26","233.39K","-2.43%"
"Mar 17, 2019","61.84","62.40","62.53","61.09","108.15K","-1.03%"
"Mar 16, 2019","62.49","59.67","63.01","59.60","256.39K","4.78%"
"Mar 15, 2019","59.63","56.98","60.34","56.98","218.89K","4.66%"
"Mar 14, 2019","56.98","56.36","59.30","54.20","239.01K","1.01%"
"Mar 13, 2019","56.41","57.67","57.88","55.60","173.72K","-2.14%"
"Mar 12, 2019","57.65","56.00","58.05","53.55","324.93K","2.98%"
"Mar 11, 2019","55.98","57.81","58.48","55.15","241.41K","-3.18%"
"Mar 10, 2019","57.81","59.00","59.16","57.06","167.66K","-2.02%"
"Mar 09, 2019","59.01","56.70","60.82","56.54","281.99K","4.09%"
"Mar 08, 2019","56.68","58.05","58.76","55.46","311.05K","-2.29%"
"Mar 07, 2019","58.01","56.60","60.28","55.53","528.37K","2.50%"
"Mar 06, 2019","56.60","53.83","58.04","52.84","361.79K","5.11%"
"Mar 05, 2019","53.84","46.82","54.88","46.47","433.63K","14.99%"
