Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,44.009998,46.209999,43.310001,45.540001,38.222836,3663500
2012-02-01,46.070000,48.320000,46.000000,47.709999,40.044163,2866100
2012-03-01,47.889999,48.959999,46.200001,48.270000,40.514191,5626800
2012-04-01,48.230000,48.970001,46.020000,47.700001,40.035786,4256100
2012-05-01,47.599998,48.200001,43.070000,43.439999,36.460251,4431200
2012-06-01,42.849998,45.680000,42.189999,45.669998,38.331947,2982800
2012-07-01,45.740002,46.430000,43.950001,46.000000,38.608929,2319800
2012-08-01,46.230000,48.080002,45.090000,47.139999,39.565750,2458400
2012-09-01,47.169998,50.340000,46.849998,48.029999,40.312752,4248400
2012-10-01,48.270000,49.349998,47.410000,47.740002,40.548904,3203400
2012-11-01,48.009998,48.599998,45.830002,48.470001,41.168934,6043600
2012-12-01,48.790001,50.130001,48.279999,49.419998,41.975845,6369000
2013-01-01,50.220001,51.750000,49.840000,51.400002,44.149128,9996500
2013-02-01,51.740002,52.130001,50.360001,51.240002,44.011707,5334600
2013-03-01,51.000000,52.700001,50.849998,52.279999,44.904984,6645800
2013-04-01,52.230000,53.680000,51.070000,53.680000,46.253777,4933600
2013-05-01,53.509998,55.930000,53.099998,53.380001,45.995266,6230900
2013-06-01,53.450001,53.910000,49.750000,51.509998,44.383968,5370400
2013-07-01,51.919998,54.880001,51.270000,54.169998,47.078300,5099300
2013-08-01,54.730000,55.119999,52.750000,52.840000,45.922428,4948100
2013-09-01,53.520000,57.200001,53.189999,55.549999,48.277630,5131700
2013-10-01,55.660000,58.340000,54.549999,57.610001,50.286522,8107700
2013-11-01,57.599998,58.740002,56.869999,58.500000,51.063385,4791100
2013-12-01,58.450001,59.439999,56.900002,59.400002,51.848972,7187700
2014-01-01,59.000000,59.389999,56.400002,56.759998,49.865780,8755700
2014-02-01,56.919998,60.029999,55.529999,59.720001,52.466259,6144300
2014-03-01,58.930000,60.430000,58.320000,59.669998,52.422325,7562200
2014-04-01,59.889999,60.430000,58.040001,60.110001,53.110298,7717300
2014-05-01,60.220001,61.470001,59.750000,61.340000,54.197083,3961900
2014-06-01,61.490002,62.779999,61.259998,62.230000,54.983433,6207600
2014-07-01,62.480000,63.119999,61.119999,61.139999,54.422691,6181700
2014-08-01,61.130001,62.869999,60.090000,62.759998,55.864704,5176900
2014-09-01,62.880001,63.349998,60.060001,60.380001,53.746181,5999200
2014-10-01,60.080002,60.990002,55.770000,60.950001,54.510895,11440800
2014-11-01,60.889999,62.119999,60.160000,61.720001,55.199554,6429700
2014-12-01,61.540001,62.000000,58.139999,60.119999,53.768581,12610200
2015-01-01,60.160000,60.730000,58.009998,59.139999,53.223610,10092000
2015-02-01,59.520000,62.900002,59.090000,62.660000,56.391472,7004600
2015-03-01,62.709999,63.169998,60.389999,61.590000,55.428513,7974700
2015-04-01,61.790001,64.440002,61.230000,63.160000,57.127041,6945500
2015-05-01,63.549999,64.589996,62.599998,63.369999,57.316978,6004000
2015-06-01,63.650002,64.129997,61.240002,61.520000,55.643696,9650900
2015-07-01,62.330002,62.810001,59.860001,61.830002,56.326797,12627400
2015-08-01,61.849998,62.110001,53.099998,57.700001,52.564388,19867200
2015-09-01,57.160000,59.090000,54.049999,55.310001,50.387115,11636700
2015-10-01,55.750000,59.980000,54.950001,59.340000,54.329823,11352400
2015-11-01,59.570000,60.459999,57.669998,59.290001,54.284050,10641900
2015-12-01,59.520000,59.930000,56.349998,57.619999,52.755051,29606900
2016-01-01,56.590000,56.750000,50.419998,54.240002,49.983692,27633500
2016-02-01,53.910000,54.490002,50.340000,53.639999,49.430779,27185100
