date,open,high,low,close,volume,dividend,split
2017-09-18,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-09-19,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-09-20,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,0,0,1
2017-09-21,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,0,0,1
2017-09-22,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,0,0,1
2017-09-25,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,0,0,1
2017-09-26,11.039999961853027,11.039999961853027,11.039999961853027,11.039999961853027,0,0,1
2017-09-27,11.039999961853027,11.039999961853027,11.039999961853027,11.039999961853027,0,0,1
2017-09-28,11.039999961853027,11.039999961853027,11.039999961853027,11.039999961853027,0,0,1
2017-09-29,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,0,0,1
2017-10-02,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-10-03,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-10-04,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-10-05,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-10-06,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-10-09,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-10-10,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-10-11,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-10-12,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-10-13,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,0,0,1
2017-10-16,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-10-17,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,0,0,1
2017-10-18,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-10-19,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-10-20,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-10-23,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
