Date;Price
02 2017 00:00:00 GMT+0000;,4504.51,-4
03 2017 00:00:00 GMT+0000;,4655.24,3.
04 2017 00:00:00 GMT+0000;,4706.9,1.1
05 2017 00:00:00 GMT+0000;,4719.87,0.
06 2017 00:00:00 GMT+0000;,4710.87,-0
07 2017 00:00:00 GMT+0000;,4713.1,0.0
08 2017 00:00:00 GMT+0000;,4427.52,-6
09 2017 00:00:00 GMT+0000;,4526.57,2.
10 2017 00:00:00 GMT+0000;,4409.48,-2
11 2017 00:00:00 GMT+0000;,3992.37,-9
12 2017 00:00:00 GMT+0000;,3819.87,-4
13 2017 00:00:00 GMT+0000;,4170.82,9.
14 2017 00:00:00 GMT+0000;,3980.99,-4
15 2017 00:00:00 GMT+0000;,3766.1,-5.
16 2017 00:00:00 GMT+0000;,3319.45,-1
17 2017 00:00:00 GMT+0000;,3178.53,-4
18 2017 00:00:00 GMT+0000;,3715.14,16
19 2017 00:00:00 GMT+0000;,4015.66,8.
20 2017 00:00:00 GMT+0000;,3760.35,-6
21 2017 00:00:00 GMT+0000;,4458.55,18
22 2017 00:00:00 GMT+0000;,4252.77,-4
23 2017 00:00:00 GMT+0000;,4489.3,5.5
24 2017 00:00:00 GMT+0000;,4392.26,-2
25 2017 00:00:00 GMT+0000;,4408.91,0.
26 2017 00:00:00 GMT+0000;,4099.4,-7.
27 2017 00:00:00 GMT+0000;,4055.71,-1
28 2017 00:00:00 GMT+0000;,4173.08,2.
29 2017 00:00:00 GMT+0000;,4189.05,0.
30 2017 00:00:00 GMT+0000;,4199.59,0.
31 2017 00:00:00 GMT+0000;,4155.21,-1
01 2017 00:00:00 GMT+0000;,4301.71,3.
02 2017 00:00:00 GMT+0000;,4326.76,0.
03 2017 00:00:00 GMT+0000;,4266.78,-1
04 2017 00:00:00 GMT+0000;,4398.65,3.
05 2017 00:00:00 GMT+0000;,4465.56,1.
06 2017 00:00:00 GMT+0000;,5008.17,12
07 2017 00:00:00 GMT+0000;,4969.68,-0
08 2017 00:00:00 GMT+0000;,5170.76,4.
09 2017 00:00:00 GMT+0000;,5410.85,4.
10 2017 00:00:00 GMT+0000;,5322.26,-1
11 2017 00:00:00 GMT+0000;,5386.8,1.2
12 2017 00:00:00 GMT+0000;,5679.97,5.
13 2017 00:00:00 GMT+0000;,5873.7,3.4
14 2017 00:00:00 GMT+0000;,5999.1,2.1
15 2017 00:00:00 GMT+0000;,6232.59,3.
16 2017 00:00:00 GMT+0000;,6047.4,-2.
17 2017 00:00:00 GMT+0000;,6281.44,3.
18 2017 00:00:00 GMT+0000;,6186.3,-1.
19 2017 00:00:00 GMT+0000;,5994.97,-3
20 2017 00:00:00 GMT+0000;,6084.65,1.
21 2017 00:00:00 GMT+0000;,6029.64,-0
22 2017 00:00:00 GMT+0000;,6134.93,1.
23 2017 00:00:00 GMT+0000;,6302.74,2.
24 2017 00:00:00 GMT+0000;,6426.92,1.
25 2017 00:00:00 GMT+0000;,6562.35,2.
26 2017 00:00:00 GMT+0000;,6644.35,1.
27 2017 00:00:00 GMT+0000;,6713.61,1.
28 2017 00:00:00 GMT+0000;,6806.8,1.3
29 2017 00:00:00 GMT+0000;,6853.87,0.
30 2017 00:00:00 GMT+0000;,7064.32,3.
31 2017 00:00:00 GMT+0000;,7118.25,0.
01 2017 00:00:00 GMT+0000;,7378.74,3.
02 2017 00:00:00 GMT+0000;,7661.76,3.
03 2017 00:00:00 GMT+0000;,7071.93,-7
04 2017 00:00:00 GMT+0000;,7075.65,0.
05 2017 00:00:00 GMT+0000;,6299.18,-1
06 2017 00:00:00 GMT+0000;,6579.57,4.
07 2017 00:00:00 GMT+0000;,6991.13,6.
08 2017 00:00:00 GMT+0000;,7022.29,0.
09 2017 00:00:00 GMT+0000;,6393.26,-8
10 2017 00:00:00 GMT+0000;,6323.06,-1
11 2017 00:00:00 GMT+0000;,6198.22,-1
12 2017 00:00:00 GMT+0000;,6275.12,1.
13 2017 00:00:00 GMT+0000;,6185.33,-1
14 2017 00:00:00 GMT+0000;,5860.18,-5
15 2017 00:00:00 GMT+0000;,4656.53,-2
16 2017 00:00:00 GMT+0000;,5359.52,15
17 2017 00:00:00 GMT+0000;,5321.12,-0
18 2017 00:00:00 GMT+0000;,5326.81,0.
19 2017 00:00:00 GMT+0000;,6030.57,13
20 2017 00:00:00 GMT+0000;,5850.89,-2
21 2017 00:00:00 GMT+0000;,5798.45,-0
22 2017 00:00:00 GMT+0000;,5351.91,-7
23 2017 00:00:00 GMT+0000;,5412.98,1.
24 2017 00:00:00 GMT+0000;,5682.96,4.
25 2017 00:00:00 GMT+0000;,5541.62,-2
26 2017 00:00:00 GMT+0000;,5886.02,6.
27 2017 00:00:00 GMT+0000;,5837.85,-0
28 2017 00:00:00 GMT+0000;,6301.94,7.
29 2017 00:00:00 GMT+0000;,6223.89,-1
30 2017 00:00:00 GMT+0000;,6140.95,-1
01 2017 00:00:00 GMT+0000;,6359,3.55%
02 2017 00:00:00 GMT+0000;,6396.28,0.
03 2017 00:00:00 GMT+0000;,6344,-0.82
04 2017 00:00:00 GMT+0000;,6219.27,-1
05 2017 00:00:00 GMT+0000;,6110.33,-1
06 2017 00:00:00 GMT+0000;,6277.87,2.
07 2017 00:00:00 GMT+0000;,6372.92,1.
08 2017 00:00:00 GMT+0000;,6456.56,1.
09 2017 00:00:00 GMT+0000;,6640.96,2.
10 2017 00:00:00 GMT+0000;,6596.8,-0.
11 2017 00:00:00 GMT+0000;,6620.7,0.3
12 2017 00:00:00 GMT+0000;,6708.59,1.
13 2017 00:00:00 GMT+0000;,7196.01,7.
14 2017 00:00:00 GMT+0000;,7565.12,5.
15 2017 00:00:00 GMT+0000;,7730.73,2.
16 2017 00:00:00 GMT+0000;,7630.35,-1
17 2017 00:00:00 GMT+0000;,7650.72,0.
18 2017 00:00:00 GMT+0000;,7416.29,-3
19 2017 00:00:00 GMT+0000;,7330.44,-1
20 2017 00:00:00 GMT+0000;,7387.63,0.
