Date;Paradigm;BTC
2017-06-21;9828360;4446080
2017-06-22;9831947;4463761
2017-06-23;9948327;4540572
2017-06-24;9335871;4309938
2017-06-25;8885730;4135758
2017-06-26;8319552;3929344
2017-06-27;8894754;4108342
2017-06-28;9593068;4345684
2017-06-29;9133937;4280046
2017-06-30;8902005;4178613
2017-07-01;8460290;4028319
2017-07-02;8940917;4188632
2017-07-03;8958211;4275496
2017-07-04;8879230;4315892
2017-07-05;8889258;4363448
2017-07-06;8883747;4344897
2017-07-07;8354346;4206882
2017-07-08;8496367;4251058
2017-07-09;8335963;4247010
2017-07-10;7617291;3997792
2017-07-11;7332500;3902464
2017-07-12;7939553;3978589
2017-07-13;7592936;3911814
2017-07-14;7217127;3616446
2017-07-15;6605606;3367145
2017-07-16;6205720;3121540
2017-07-17;7137790;3637489
2017-07-18;7965402;3958801
2017-07-19;7318771;3771975
2017-07-20;8480294;4566499
2017-07-21;8173899;4404162
2017-07-22;8707497;4686934
2017-07-23;8628924;4668217
2017-07-24;8552794;4616697
2017-07-25;7675875;4118228
2017-07-26;7746948;4178345
2017-07-27;7883851;4323955
2017-07-28;7990729;4599853
2017-07-29;8193339;4563438
2017-07-30;7998947;4545439
2017-07-31;8374563;4830370
2017-08-01;8522370;4595286
2017-08-02;8301505;4498787
2017-08-03;8560678;4650151
2017-08-04;8586883;4737133
2017-08-05;9779576;5405232
2017-08-06;9941980;5460649
2017-08-07;10120241;5586873
2017-08-08;10553317;5766422
2017-08-09;10389667;5623170
2017-08-10;10501125;5728200
2017-08-11;10886523;5985999
2017-08-12;11262541;6369118
2017-08-13;11518106;6717645
2017-08-14;11955421;7130773
2017-08-15;11512869;6810632
2017-08-16;12130128;7272971
2017-08-17;12066346;7231571
2017-08-18;11471987;6714283
2017-08-19;11675326;6906244
2017-08-20;11722532;6899972
2017-08-21;11731874;6687503
2017-08-22;11767577;6812539
2017-08-23;11911020;6915628
2017-08-24;12167588;7082281
2017-08-25;12359045;7241239
2017-08-26;12433658;7276299
2017-08-27;12611945;7308934
2017-08-28;12552817;7259555
2017-08-29;13220207;7681197
2017-08-30;13293314;7652660
2017-08-31;13623051;7933694
2017-09-01;13893041;8169028
2017-09-02;12967484;7683740
2017-09-03;13000366;7663633
2017-09-04;12375899;7560695
2017-09-05;12461687;7455397
2017-09-06;12854205;7643059
2017-09-07;12834623;7653480
2017-09-08;11993205;7109028
2017-09-09;12045841;7169145
